1,63,171,0
2,64,101,0
3,69,66,0
4,74,88,0
5,77,121,0
6,82,62,0
7,83,71,0
8,84,73,0
9,84,68,0
10,86,165,0
11,87,178,0
12,92,86,0
13,95,103,0
14,97,125,2
15,97,69,0
16,97,85,0
17,97,106,0
18,98,156,0
19,99,166,0
20,103,139,0
21,103,92,0
22,105,141,0
23,107,110,0
24,108,177,0
25,109,128,0
26,111,160,0
27,117,173,0
28,118,111,0
29,122,183,0
30,124,138,0
31,131,127,0
32,132,67,0
33,134,123,0
34,136,147,0
35,139,174,0
36,140,70,0
37,141,144,0
38,145,141,0
39,147,92,0
40,150,68,0
41,150,164,0
42,151,62,4
43,152,121,0
44,155,127,0
45,158,184,0
46,159,122,0
47,162,163,0
48,164,84,0
49,178,158,0
50,179,175,0
