1,127,213,0
2,127,296,0
3,128,270,0
4,134,147,0
5,135,213,0
6,137,245,0
7,144,131,0
8,147,217,0
9,154,321,0
10,155,184,0
11,162,362,0
12,163,210,0
13,164,254,0
14,168,344,0
15,174,200,0
16,175,261,0
17,177,233,0
18,178,146,0
19,179,237,0
20,179,299,0
21,182,198,0
22,199,222,0
23,204,261,0
24,212,315,1
25,216,182,1
26,219,278,0
27,225,325,0
28,225,360,0
29,228,262,0
30,238,332,0
31,242,277,0
32,250,226,0
33,256,243,0
34,270,187,0
35,281,210,1
36,284,284,1
37,293,208,0
38,295,155,0
39,302,263,0
40,304,313,0
41,308,281,0
42,314,159,0
43,322,237,0
44,328,137,0
45,344,264,0
46,344,155,0
47,347,346,0
48,349,260,0
49,370,165,0
50,374,362,0
