1,269,599,0
2,278,656,0
3,281,439,0
4,290,543,0
5,300,417,0
6,320,486,4
7,323,382,0
8,327,446,0
9,352,268,1
10,355,537,0
11,359,728,1
12,400,542,0
13,405,339,0
14,414,678,0
15,421,583,0
16,422,745,0
17,426,277,0
18,433,446,0
19,465,644,0
20,491,392,0
21,506,668,0
22,512,324,0
23,519,604,0
24,520,321,0
25,526,273,0
26,528,459,0
27,532,483,0
28,549,554,0
29,566,349,0
30,568,625,0
31,579,426,0
32,585,614,0
33,590,546,0
34,590,465,0
35,594,264,0
36,596,634,0
37,596,746,0
38,605,290,0
39,606,479,0
40,616,734,0
41,622,434,0
42,635,405,0
43,640,482,0
44,640,716,0
45,660,276,0
46,665,572,0
47,679,467,0
48,685,254,0
49,696,497,0
50,723,729,0
